"","CO2.emissions","Air.Pollution","Protected.Land","Education","Women.Parliament","Child.Mortality","Water","GINI","Youth.Unemployment","Hunger","Violence","Internet","Protected.Sea","Sanitation","Poverty","Alternative.Energy","oneoverco2","oneoverpl","oneoverps"
"5515",NA,NA,NA,NA,NA,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5516",NA,NA,NA,NA,NA,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5517",NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5518",NA,NA,NA,NA,NA,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5519",NA,0.3612294782,NA,NA,0.883,1.09,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"5520",NA,0.3533046545,NA,NA,0.883,1.02,NA,NA,NA,NA,NA,0.97275734578,NA,NA,NA,NA,NA,NA,NA
"5521",NA,0.3348025828,NA,NA,0.883,0.95,NA,NA,NA,NA,NA,0.94551469156,NA,NA,NA,NA,NA,NA,NA
"5522",NA,0.3380425748,NA,NA,0.883,0.89,NA,NA,NA,NA,NA,0.91827203734,NA,NA,NA,NA,NA,NA,NA
"5523",NA,0.3150367372,NA,NA,0.883,0.83,NA,NA,NA,NA,NA,0.89102938312,NA,NA,NA,NA,NA,NA,NA
"5524",NA,0.3051294434,NA,NA,0.883,0.78,NA,NA,NA,NA,NA,0.8637867289,NA,NA,NA,NA,NA,NA,NA
"5525",NA,0.3028802091,NA,NA,0.883,0.73,NA,NA,NA,NA,NA,0.8571924814,NA,NA,NA,NA,NA,NA,NA
"5526",NA,0.2832396318,NA,NA,0.883,0.68,NA,NA,NA,NA,NA,0.858145152,NA,NA,NA,NA,NA,NA,NA
"5527",NA,0.279300987,NA,NA,0.867,0.63,NA,NA,NA,NA,NA,0.8591442059,NA,NA,NA,NA,NA,NA,NA
"5528",NA,0.265649166,NA,NA,0.867,0.59,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"5529",NA,0.2611876094,NA,NA,0.867,0.55,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"5530",NA,0.2555313658,NA,NA,0.833,0.52,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"5531",NA,0.2472795524,NA,NA,0.833,0.49,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"5532",NA,0.2528835491,NA,NA,0.833,0.46,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"5533",NA,0.2438575848,NA,NA,0.833,0.44,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"5534",NA,0.2395412651,NA,NA,0.833,0.42,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
